DATETIME, REPOSITORY_URL, BRANCH, SCORE, LEVEL, RESULT, DROP_INTERVAL, VALUE_MODE, VALUE_PREDICT_WEIGHT, 1LINE_SCORE, 2LINE_SCORE, 3LINE_SCORE, 4LINE_SCORE, GAMEOVER_SCORE, DROPDOWN_SCORE, BLOCK_NO, TRIAL_NUM, SCORE_MEAN, SCORE_STDEV, SCORE_MAX, SCORE_MIN
2022/02/18_0:53:51, https://github.com/isshy-you/tetris, master, 39186, 3, SUCCESS, 3, -, -, 69300, 77400, 44100, 45500, -297000, 99886, 14992, 10, 17607.80, 15399.76, 39186, -14139
2022/09/10_23:42:24, https://github.com/AtsutoshiNaraki/tetris, Ryuoh, 35494, 3, SUCCESS, 1, default, outputs/latest/best_weight.pt, 51800, 9600, 700, 0, -50500, 23894, 3651, 10, 20065.20, 9008.18, 35494, 6899
2022/02/06_0:13:22, https://github.com/isshy-you/tetris, master, 18859, 3, SUCCESS, 1, -, -, 66100, 71100, 40600, 46800, -307000, 101259, 15182, -, -, -, -, -
2022/09/13_9:03:37, https://github.com/cookie4869/tetris, cookie3_branch, 16754, 3, SUCCESS, 1000, predict, outputs/latest/best_weight.pt, 2000, 3000, 2800, 6500, 0, 2454, 179, 10, 12512.50, 2544.62, 16754, 8692
2022/09/16_22:50:16, https://github.com/AtsutoshiNaraki/tetris, master, 16590, 3, SUCCESS, 1000, default, outputs/latest/best_weight.pt, 2000, 1200, 1400, 10400, 0, 1590, 171, 10, 9146.50, 3344.56, 16590, 6032
2022/03/16_9:04:23, https://github.com/yuin0/tetris, master, 16201, 3, SUCCESS, 1000, -, -, 2200, 3000, 3500, 5200, 0, 2301, 180, 10, 12198.60, 3094.60, 16201, 6366
2022/09/11_1:42:46, https://github.com/cookie4869/tetris, cookie3_branch, 15430, 3, SUCCESS, 1000, predict, outputs/latest/best_weight.pt, 3000, 2700, 2100, 5200, 0, 2430, 180, 10, 12493.40, 1657.23, 15430, 9978
2022/09/11_1:05:20, https://github.com/cookie4869/tetris, cookie3_branch, 14691, 3, SUCCESS, 1000, predict, outputs/2022-09-06-08-01-43/trained_model/tetris_epoch2577_score71800.pt, 2300, 3600, 2800, 3900, 0, 2091, 180, 10, 12415.00, 1045.56, 14691, 11256
2022/09/06_22:57:41, https://github.com/cookie4869/tetris, cookie3_branch, 14483, 3, SUCCESS, 1000, predict, outputs/2022-09-06-08-01-43/trained_model/tetris_epoch2577_score71800.pt, 2300, 4200, 2100, 3900, 0, 1983, 180, 10, 12595.20, 976.04, 14483, 11091
2022/09/11_8:09:20, https://github.com/cookie4869/tetris, cookie3_branch, 14170, 3, SUCCESS, 1000, predict, outputs/2022-09-06-08-01-43/trained_model/tetris_epoch2577_score71800.pt, 2700, 3300, 3500, 2600, 0, 2070, 180, 10, 12464.70, 1133.78, 14170, 10941
2022/06/30_1:55:31, https://github.com/yuin0/tetris, master, 14075, 3, SUCCESS, 1000, -, -, 2800, 3300, 4200, 1300, 0, 2475, 180, , , , ,
2022/09/03_19:14:09, https://github.com/cookie4869/tetris, cookie3_branch, 14011, 3, SUCCESS, 1000, predict, outputs/2022-09-03-13-05-06/trained_model/tetris_epoch6390_score16800.pt, 3200, 2400, 4900, 1300, 0, 2211, 180, 10, 12732.50, 817.50, 14011, 11570
2022/09/06_22:57:41, https://github.com/cookie4869/tetris, cookie3_branch, 13859, 3, SUCCESS, 1000, predict, outputs/2022-09-06-08-01-43/trained_model/tetris_epoch2577_score71800.pt, 2000, 3900, 3500, 2600, 0, 1859, 177, 10, 11884.90, 1352.03, 13859, 9092
2022/02/18_21:06:21, https://github.com/yuin0/tetris, master, 13327, 3, SUCCESS, 1000, -, -, 2900, 3600, 2100, 2600, 0, 2127, 180, 10, 10940.70, 1675.44, 13327, 8089
2022/03/21_3:27:12, https://github.com/isshy-you/tetris, ish05g, 13089, 3, SUCCESS, 1000, -, -, 2300, 3600, 4200, 1300, 0, 1689, 180, 10, 6470.90, 3615.54, 13089, 1916
2022/09/06_22:58:17, https://github.com/cookie4869/tetris, cookie3_branch, 12998, 3, SUCCESS, 1000, predict, outputs/2022-09-03-11-40-46/trained_model/tetris_epoch754_score17400.pt, 3300, 3600, 1400, 2600, 0, 2098, 179, 10, 11705.50, 893.52, 12998, 10189
2022/03/21_2:19:52, https://github.com/isshy-you/tetris, ish05f, 12939, 3, SUCCESS, 1000, -, -, 2200, 4200, 2100, 2600, 0, 1839, 180, 10, 7384.00, 3805.75, 12939, 1266
2022/09/15_8:46:29, https://github.com/isshy-you/tetris, ish07b_lv3, 12526, 3, SUCCESS, 1000, default, outputs/latest/best_weight.pt, 2100, 3300, 4200, 1300, 0, 1626, 180, 10, 7607.90, 3267.66, 12526, 2539
2022/09/06_23:01:14, https://github.com/cookie4869/tetris, cookie3_branch, 12377, 3, SUCCESS, 1000, predict, outputs/2022-09-04-15-33-43/trained_model/tetris_epoch1392_score103500.pt, 4700, 1800, 2100, 1300, 0, 2477, 180, 10, 11375.80, 519.28, 12377, 10472
2022/03/15_1:12:49, https://github.com/isshy-you/tetris, ish05c, 12131, 3, SUCCESS, 1000, -, -, 1500, 4200, 2800, 2600, -500, 1531, 180, 10, 6776.60, 2909.04, 12131, 2935
2022/03/22_2:11:01, https://github.com/isshy-you/tetris, ish05g3, 12101, 3, SUCCESS, 1000, -, -, 2900, 3000, 2800, 1300, 0, 2101, 180, 10, 7159.60, 2415.37, 12101, 3093
2022/09/15_7:59:27, https://github.com/isshy-you/tetris, ish07b_lv2, 12001, 3, SUCCESS, 1000, default, outputs/latest/best_weight.pt, 1400, 3000, 1400, 5200, -500, 1501, 180, 10, 7587.60, 3658.47, 12001, 3151
2022/09/06_23:01:14, https://github.com/cookie4869/tetris, cookie3_branch, 11957, 3, SUCCESS, 1000, predict, outputs/2022-09-04-15-33-43/trained_model/tetris_epoch1392_score103500.pt, 3700, 3300, 1400, 1300, 0, 2257, 177, 10, 10842.80, 902.92, 11957, 8589
2022/09/01_22:59:57, https://github.com/cookie4869/tetris, cookie2_branch, 11938, 3, SUCCESS, 1000, predict, outputs/2022-08-31-08-05-53/trained_model/tetris_epoch1701_score189000.pt, 4200, 3300, 2100, 0, 0, 2338, 180, 10, 11349.90, 636.70, 11938, 10130
2022/03/23_23:47:00, https://github.com/isshy-you/tetris, ish05h3, 11928, 3, SUCCESS, 1000, -, -, 3700, 2100, 700, 3900, 0, 1528, 180, 10, 6344.40, 3119.38, 11928, 2256
2022/09/06_7:38:21, https://github.com/cookie4869/tetris, cookie3_branch, 11904, 3, SUCCESS, 1000, predict, outputs/2022-09-04-19-37-38/trained_model/tetris_epoch520_score57800.pt, 3700, 4500, 1400, 0, 0, 2304, 179, 10, 11306.80, 416.03, 11904, 10574
2022/09/15_8:03:16, https://github.com/isshy-you/tetris, ish07b_lv1, 11527, 3, SUCCESS, 1000, default, outputs/latest/best_weight.pt, 1800, 3300, 2800, 2600, -500, 1527, 180, 10, 8274.20, 2189.94, 11527, 4296
2022/03/22_22:45:50, https://github.com/usamin24/tetris, Lv3, 11329, 3, SUCCESS, 1000, -, -, 4200, 2400, 2800, 0, 0, 1929, 180, 10, 9227.00, 1281.14, 11329, 7270
2022/08/25_20:34:21, https://github.com/cookie4869/tetris, cookie_branch, 11237, 3, SUCCESS, 1000, predict, outputs/2022-08-17-20-41-25/trained_model/tetris_epoch949_score203900.pt, 4400, 3600, 0, 1300, 0, 1937, 180, 10, 9708.90, 1069.15, 11237, 8126
2022/03/22_20:18:43, https://github.com/isshy-you/tetris, ish05h3, 11088, 3, SUCCESS, 1000, -, -, 2800, 4800, 700, 1300, 0, 1488, 180, 10, 11088.00, 0.00, 11088, 11088
